12-04	Barbara, Johannes v.D.
12-05	Gerald, Reinhard, Niels
12-06	Nikolaus, Denise, Henrike
12-07	Ambros, Farah, Benedikte
12-08	Mariä Empfängnis, Edith
12-09	Valerie, Liborius, Reinmar
12-10	Emma, Imma, Loretta
12-11	Arthur, Damasus, Tassilo
12-12	Johanna, Hartmann
12-13	Lucia, Ottilia, Jodok, Johanna
12-14	Berthold, Johannes v.K.
12-15	Christiane, Nina, Paola
12-16	Adelheid, Heidi, Elke
12-17	Lazarus, Jolanda, Viviana
12-18	Esperanza, Luise, Gratian
12-19	Susanna, Benjamin
12-20	Julius, Holger, Eike
12-21	Ingmar, Ingo, Hagar
12-22	Jutta, Francesca-Saveria
12-23	Victoria, Johannes C.
12-24	Hl. Abend, Adam u. Eva
12-25	Christfest (Weihnachten)
12-26	Stephan, Stephanie
12-27	Johannes Ev., Fabiola
12-28	Unschuldige Kinder, John
12-29	David, Tamara, Jessica
12-30	Hermine, Minna, Herma
12-31	Silvester, Melanie
